City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
505,Sakskobing,DK,16.16,overcast clouds,54.7997,11.626,Hotel Saxkjøbing
506,Varberg,SE,16.14,overcast clouds,57.1056,12.2508,Varbergs Kusthotell
508,Gwanda,ZW,14.3,clear sky,-20.9333,29.0,Mafax Homeways
511,Comodoro Rivadavia,AR,7.92,clear sky,-45.8667,-67.5,Austral Hotel
512,Koping,SE,17.96,broken clouds,59.514,15.9926,Best Western Hotel Scheele
517,Kautokeino,NO,8.6,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
523,Aviles,ES,16.66,broken clouds,43.5547,-5.9248,Hotel Palacio de Avilés
524,Belfast,GB,12.99,few clouds,54.5833,-5.9333,Wellington Park Hotel
526,Arona,ES,17.77,clear sky,28.0996,-16.681,Paradise Court
527,Svetlyy,RU,15.03,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
528,Rio Grande,BR,10.06,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
530,Ust-Ishim,RU,13.01,scattered clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
531,Rorvik,NO,11.37,overcast clouds,64.8621,11.2373,Kysthotellet Rørvik AS
532,Kupino,RU,15.84,overcast clouds,54.3663,77.2981,Hotel Sibiria Inn
534,Atasu,KZ,18.45,scattered clouds,48.6814,71.6433,Dostyk
538,Huarmey,PE,19.26,overcast clouds,-10.0681,-78.1522,Hotel Miramar
539,Mocuba,MZ,16.67,clear sky,-16.8392,36.9856,Phama Lodge
541,Talnakh,RU,9.36,overcast clouds,69.4865,88.3972,Talnakh Hotel
543,Bereda,ES,12.86,overcast clouds,43.2686,-7.5406,Pazo de Verdes
544,Joshimath,IN,19.01,few clouds,30.5667,79.5667,Shivalik Camps & Resort
545,Mehamn,NO,9.97,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
548,Skjervoy,NO,11.08,overcast clouds,70.0311,20.9714,Skjervøy Byggeservice AS
549,Chervona Sloboda,UA,19.32,scattered clouds,49.3789,32.1464,Sportokhota
563,Maarianhamina,AX,12.92,clear sky,60.0973,19.9348,Park Alandia Hotel
564,Tete,MZ,17.05,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
566,Villa Carlos Paz,AR,7.6,clear sky,-31.4241,-64.4978,Monte Carlo
567,Sfantu Gheorghe,RO,18.48,broken clouds,45.8667,25.7833,Hotel Park Sfantu Gheorghe
571,Diamantina,BR,12.46,clear sky,-18.2494,-43.6003,POUSADA OURO DE MINAS
