City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Bonthe,SL,2021-06-26 16:41:54,7.5264,-12.505,26.55,75,100,4.14
279,Ratnagiri,IN,2021-06-26 16:41:55,16.9833,73.3,27.17,79,99,3.71
280,Timbiqui,CO,2021-06-26 16:41:58,2.7717,-77.6654,27.89,74,49,2.33
281,Sinnamary,GF,2021-06-26 16:41:59,5.3833,-52.95,27.99,72,35,4.12
282,Mendoza,AR,2021-06-26 16:42:00,-32.8908,-68.8272,6.74,61,75,3.09
283,Gamba,GA,2021-06-26 16:42:02,-2.65,10.0,23.71,86,100,3.22
284,Bani Walid,LY,2021-06-26 16:42:03,31.7566,13.9942,39.85,11,53,8.74
285,Buta,CD,2021-06-26 16:42:04,2.7858,24.73,26.95,59,88,1.18
286,Black River,JM,2021-06-26 16:42:06,18.0264,-77.8487,30.0,59,63,4.52
287,Birao,CF,2021-06-26 16:42:07,10.2849,22.7882,32.55,32,51,0.91
288,Paita,PE,2021-06-26 16:42:09,-5.0892,-81.1144,23.31,69,6,5.14
289,Hobyo,SO,2021-06-26 16:42:10,5.3505,48.5268,25.63,82,47,11.78
290,Nanortalik,GL,2021-06-26 16:42:11,60.1432,-45.2371,8.71,88,73,1.8
291,Farafangana,MG,2021-06-26 16:42:13,-22.8167,47.8333,20.38,84,0,4.55
